Date,Result,Hero,Duration,KDA
10/2/16,Won ,Dazzle,50:29:00,5/4/09
10/2/16,Won ,Puck,52:31:00,9/12/13
10/2/16,Lost,Puck,32:00:00,5/6/02
9/2/16,Lost,Shadow Fiend,58:50:00,8/6/07
8/2/16,Won ,Puck,58:56:00,13/10/25
7/2/16,Won ,Dragon Knight,58:38:00,14/5/16
7/2/16,Won ,Shadow Fiend,28:58:00,16/1/13
6/2/16,Won ,Chaos Knight,27:31:00,16/0/11
6/2/16,Lost,Puck,1:04:06,5/8/20
6/2/16,Won ,Shadow Fiend,27:48:00,6/2/10
6/2/16,Won ,Puck,38:50:00,13/2/20
6/2/16,Won ,Sand King,26:30:00,3/4/10
6/2/16,Won ,Batrider,28:18:00,3/5/09
5/2/16,Won ,Anti-Mage,34:38:00,8/4/05
5/2/16,Lost,Templar Assassin,48:39:00,11/7/15
5/2/16,Won ,Anti-Mage,40:57:00,5/2/09
5/2/16,Won ,Templar Assassin,36:34:00,20/1/09
4/2/16,Won ,Shadow Fiend,43:57:00,10/3/16
3/2/16,Lost,Templar Assassin,41:12:00,5/4/05
3/2/16,Won ,Troll Warlord,1:03:31,11/10/16
3/2/16,Lost,Troll Warlord,1:03:40,10/14/14
2/2/16,Lost,Troll Warlord,40:42:00,4/9/06
2/2/16,Lost,Troll Warlord,43:28:00,3/4/01
2/2/16,Lost,Troll Warlord,32:44:00,2/6/02
2/2/16,Lost,Troll Warlord,50:02:00,9/9/06
2/2/16,Lost,Troll Warlord,37:08:00,1/12/03
2/2/16,Won ,Puck,53:28:00,10/7/30
2/2/16,Lost,Enchantress,33:46:00,3/10/03
2/2/16,Lost,Lone Druid,24:48:00,2/8/01
2/2/16,Won ,Puck,39:06:00,15/4/17
1/2/16,Lost,Lone Druid,42:55:00,2/6/13
1/2/16,Lost,Troll Warlord,42:01:00,3/11/05
31/1/16,Won ,Puck,28:59:00,12/3/18
31/1/16,Lost,Templar Assassin,32:08:00,3/6/05
31/1/16,Won ,Phoenix,47:45:00,5/4/23
31/1/16,Lost,Spectre,34:14:00,4/7/10
31/1/16,Won ,Puck,57:05:00,16/3/25
29/1/16,Won ,Puck,29:57:00,18/2/21
17/1/16,Lost,Dazzle,32:56:00,1/10/09
16/7/16,Won ,Shadow Fiend,30:32:00,11/4/16
27/11/15,Won ,Slardar,26:48:00,4/1/21
14/11/15,Won ,Shadow Fiend,22:13,2/3/03
31/10/15,Won ,Ember Spirit,1:00:02,5/6/17
30/10/15,Lost,Ember Spirit,51:01:00,9/8/13
30/10/15,Won ,Naga Siren,36:13:00,7/2/08
22/10/15,Won ,Shadow Fiend,23:08,10/1/05
20/10/15,Won ,Shadow Fiend,24:29:00,11/0/9
20/10/15,Lost,Lina,27:47:00,4/7/06
19/10/15,Lost,Dazzle,45:04:00,2/8/13
19/10/15,Won ,Shadow Fiend,41:56:00,13/8/15
16/10/15,Won ,Shadow Fiend,23:50,8/0/8
5/10/15,Won ,Shadow Fiend,27:17:00,8/2/11
5/10/15,Won ,Earthshaker,22:34,1/1/18
30/9/15,Won ,Earthshaker,1:01:06,7/17/16
26/9/15,Lost,Earthshaker,41:52:00,4/9/24
26/9/15,Won ,Shadow Fiend,33:09:00,13/6/10
26/9/15,Won ,Shadow Fiend,37:51:00,7/7/12
26/9/15,Won ,Shadow Fiend,34:02:00,16/1/06
25/9/15,Won ,Templar Assassin,1:03:50,24/8/08
9/9/15,Lost,Lina,33:05:00,8/10/04
9/9/15,Lost,Earth Spirit,56:42:00,5/16/21
9/9/15,Lost,Winter Wyvern,51:20:00,3/9/10
9/9/15,Won ,Tusk,58:19:00,5/14/20
9/9/15,Won ,Earthshaker,25:59:00,3/2/07
9/9/15,Lost,Lina,54:24:00,12/4/05
8/9/15,Won ,Lina,45:56:00,13/5/20
7/9/15,Lost,Templar Assassin,45:53:00,7/11/07
7/9/15,Lost,Ember Spirit,28:26:00,9/4/07
7/9/15,Won ,Templar Assassin,42:30:00,18/2/10
31/8/15,Won ,Shadow Fiend,43:47:00,12/6/17
31/8/15,Lost,Earthshaker,33:01:00,4/12/09
30/8/15,Lost,Storm Spirit,26:20:00,3/4/09
30/8/15,Won ,Shadow Fiend,32:35:00,11/2/08
28/8/15,Won ,Storm Spirit,37:36:00,11/3/18
28/8/15,Won ,Tusk,29:22:00,9/6/24
28/8/15,Won ,Shadow Fiend,40:00:00,9/2/06
28/8/15,Won ,Shadow Fiend,49:07:00,14/6/12
28/8/15,Won ,Spirit Breaker,31:58:00,14/10/13
27/8/15,Won ,Undying,30:15:00,8/5/37
27/8/15,Won ,Storm Spirit,32:55:00,14/3/15
27/8/15,Lost,Anti-Mage,36:34:00,4/5/06
27/8/15,Won ,Storm Spirit,1:01:48,23/8/22
26/8/15,Lost,Terrorblade,53:55:00,10/11/09
26/8/15,Won ,Earthshaker,41:25:00,1/6/11
25/8/15,Lost,Lina,45:13:00,10/11/13
25/8/15,Lost,Earth Spirit,32:57:00,3/6/11
25/8/15,Won ,Zeus,32:15:00,19/7/23
25/8/15,Lost,Windranger,53:04:00,15/9/12
25/8/15,Won ,Templar Assassin,1:05:13,14/14/13
16/7/16,Won ,Ember Spirit,45:31:00,10/3/15
25/8/15,Lost,Earthshaker,35:00:00,1/12/05
25/8/15,Lost,Templar Assassin,34:30:00,3/6/02
25/8/15,Won ,Earthshaker,42:04:00,3/4/15
24/8/15,Won ,Zeus,43:40:00,9/3/17
24/8/15,Won ,Shadow Fiend,54:48:00,14/6/16
24/8/15,Lost,Lina,1:14:22,8/6/17
24/8/15,Lost,Timbersaw,1:02:44,15/8/18
24/8/15,Won ,Crystal Maiden,26:21:00,4/4/09
24/8/15,Lost,Phantom Assassin,20:53,3/6/01
24/8/15,Won ,Anti-Mage,29:31:00,7/2/12
24/8/15,Won ,Earthshaker,46:05:00,7/3/21
22/8/15,Won ,Io,47:29:00,2/7/14
22/8/15,Lost,Dazzle,33:10:00,2/7/06
21/8/15,Lost,Ember Spirit,27:57:00,3/7/04
21/8/15,Won ,Anti-Mage,47:48:00,10/4/18
21/8/15,Won ,Earthshaker,33:23:00,1/4/17
21/8/15,Won ,Templar Assassin,37:35:00,8/3/10
21/8/15,Won ,Earthshaker,53:53:00,11/1/26
21/8/15,Lost,Earthshaker,48:39:00,10/6/17
21/8/15,Lost,Lina,26:10:00,1/10/05
21/8/15,Won ,Lina,31:08:00,9/3/12
21/8/15,Won ,Earthshaker,38:55:00,3/7/17
21/8/15,Lost,Dazzle,26:18:00,1/8/05
21/8/15,Lost,Earthshaker,35:07:00,2/8/20
20/8/15,Won ,Dazzle,36:32:00,3/3/15
20/8/15,Lost,Bounty Hunter,46:33:00,5/12/07
20/8/15,Lost,Dazzle,40:30:00,4/12/11
20/8/15,Won ,Shadow Fiend,40:34:00,8/6/12
20/8/15,Won ,Ember Spirit,23:04,14/0/14
20/8/15,Lost,Dazzle,33:23:00,0/7/2
20/8/15,Won ,Shadow Fiend,22:49,8/2/08
20/8/15,Won ,Earthshaker,39:08:00,4/4/31
20/8/15,Lost,Lina,46:21:00,8/4/13
20/8/15,Won ,Lina,29:45:00,15/1/12
19/8/15,Won ,Zeus,8:58,4/0/2
19/8/15,Lost,Anti-Mage,52:12:00,14/6/02
19/8/15,Lost,Lina,39:51:00,1/6/05
19/8/15,Won ,Ember Spirit,34:27:00,7/4/16
19/8/15,Won ,Lina,28:01:00,3/5/07
19/8/15,Lost,Lina,29:49:00,7/6/03
19/8/15,Won ,Anti-Mage,48:05:00,14/5/10
18/8/15,Lost,Gyrocopter,53:22:00,11/11/21
18/8/15,Won ,Lina,1:05:06,4/7/14
18/8/15,Lost,Earth Spirit,29:56:00,0/8/5
18/8/15,Lost,Templar Assassin,30:14:00,11/8/05
18/8/15,Won ,Earthshaker,1:00:21,6/9/26
18/8/15,Won ,Anti-Mage,42:58:00,6/6/14
18/8/15,Lost,Dazzle,46:30:00,0/7/9
18/8/15,Won ,Shadow Fiend,1:07:11,17/12/27
16/7/16,Won ,Dazzle,39:57:00,0/8/11
17/8/15,Won ,Earth Spirit,46:34:00,9/7/15
17/8/15,Won ,Lina,36:55:00,3/5/13
17/8/15,Won ,Templar Assassin,35:49:00,16/1/07
17/8/15,Lost,Spectre,42:53:00,2/6/18
17/8/15,Won ,Ember Spirit,52:31:00,7/7/22
16/8/15,Won ,Lina,49:24:00,16/5/13
16/8/15,Won ,Lina,47:54:00,17/5/11
16/8/15,Won ,Crystal Maiden,29:22:00,3/5/07
16/8/15,Lost,Crystal Maiden,6:02,0/0/0
16/8/15,Lost,Anti-Mage,31:30:00,0/7/6
16/8/15,Won ,Anti-Mage,49:04:00,7/5/13
15/8/15,Lost,Shadow Fiend,1:12:45,12/8/12
15/8/15,Won ,Shadow Fiend,38:25:00,18/10/19
15/8/15,Won ,Lina,34:06:00,6/8/09
15/8/15,Won ,Bounty Hunter,28:05:00,1/4/07
15/8/15,Lost,Tusk,36:35:00,2/10/13
15/8/15,Lost,Shadow Fiend,39:00:00,5/7/01
15/8/15,Won ,Templar Assassin,32:58:00,10/3/03
14/8/15,Won ,Anti-Mage,31:35:00,15/0/5
14/8/15,Lost,Naga Siren,42:07:00,2/11/10
14/8/15,Lost,Lina,48:01:00,19/11/06
14/8/15,Lost,Lina,1:06:55,17/6/10
14/8/15,Won ,Templar Assassin,20:25,9/2/03
14/8/15,Lost,Shadow Fiend,30:02:00,6/7/02
14/8/15,Won ,Storm Spirit,25:54:00,9/2/10
14/8/15,Lost,Lina,34:59:00,5/9/04
14/8/15,Won ,Shadow Fiend,36:38:00,6/4/13
14/8/15,Lost,Crystal Maiden,1:03:33,8/5/21
14/8/15,Won ,Magnus,39:24:00,2/3/19
14/8/15,Won ,Lina,1:05:11,15/8/25
13/8/15,Won ,Spectre,48:29:00,6/7/25
13/8/15,Lost,Bounty Hunter,1:04:49,6/18/12
13/8/15,Won ,Shadow Fiend,30:55:00,5/4/13
13/8/15,Lost,Bounty Hunter,45:12:00,7/6/06
13/8/15,Lost,Naga Siren,24:35:00,2/5/07
13/8/15,Won ,Ember Spirit,1:03:39,15/8/32
12/8/15,Lost,Templar Assassin,32:27:00,5/7/01
12/8/15,Lost,Shadow Fiend,34:24:00,3/9/03
12/8/15,Won ,Shadow Fiend,58:08:00,8/8/18
11/8/15,Won ,Templar Assassin,40:34:00,18/4/08
11/8/15,Lost,Shadow Fiend,1:02:41,14/10/12
11/8/15,Won ,Templar Assassin,28:11:00,7/2/04
11/8/15,Lost,Shadow Fiend,33:37:00,4/11/02
10/8/15,Won ,Ember Spirit,31:55:00,9/2/09
10/8/15,Won ,Lina,35:48:00,12/4/11
10/8/15,Lost,Templar Assassin,54:34:00,15/9/07
10/8/15,Won ,Shadow Fiend,30:59:00,6/6/13
10/8/15,Won ,Shadow Fiend,51:18:00,10/9/25
10/8/15,Won ,Templar Assassin,31:38:00,20/1/08
16/7/16,Won ,Shadow Fiend,1:04:26,19/10/18
10/8/15,Lost,Templar Assassin,38:57:00,7/7/08
