Date,Result,Hero,Duration,KDA
19/7/13,Won ,Windranger,34:17:00,15/1/16
19/7/13,Lost,Invoker,36:43:00,1/8/04
17/7/13,Lost,Anti-Mage,29:38:00,6/6/02
17/7/13,Lost,Shadow Fiend,59:39:00,14/10/25
17/7/13,Lost,Phantom Assassin,59:51:00,4/12/06
16/7/13,Lost,Lone Druid,47:51:00,4/3/11
16/7/13,Won ,Bounty Hunter,43:07:00,8/7/18
16/7/13,Won ,Anti-Mage,50:16:00,12/2/08
15/7/13,Lost,Luna,48:21:00,10/6/09
15/7/13,Lost,Bounty Hunter,29:49:00,2/4/01
14/7/13,Lost,Tinker,43:55:00,5/6/12
14/7/13,Won ,Enigma,54:08:00,7/8/23
14/7/13,Won ,Doom,53:36:00,6/7/17
13/7/13,Lost,Silencer,46:35:00,4/9/10
13/7/13,Lost,Dragon Knight,42:00:00,8/6/12
13/7/13,Won ,Queen of Pain,35:30:00,16/2/10
13/7/13,Won ,Tinker,45:10:00,10/10/20
12/7/13,Won ,Lifestealer,44:38:00,15/5/19
12/7/13,Lost,Silencer,37:09:00,2/2/05
12/7/13,Lost,Enigma,29:44:00,2/3/08
12/7/13,Lost,Clockwerk,39:08:00,5/4/11
12/7/13,Lost,Gyrocopter,38:12:00,13/11/08
12/7/13,Won ,Lone Druid,36:07:00,1/3/12
12/7/13,Won ,Lifestealer,33:22:00,27/0/9
11/7/13,Won ,Lion,50:17:00,6/8/20
11/7/13,Lost,Clockwerk,29:05:00,5/7/08
11/7/13,Won ,Bounty Hunter,34:52:00,11/6/20
11/7/13,Lost,Lone Druid,42:01:00,3/7/11
10/7/13,Lost,Lone Druid,33:45:00,0/7/4
10/7/13,Won ,Clockwerk,50:01:00,4/11/22
10/7/13,Lost,Naga Siren,33:49:00,3/7/09
10/7/13,Lost,Alchemist,36:02:00,7/6/05
10/7/13,Won ,Alchemist,42:25:00,6/9/16
9/7/13,Won ,Lone Druid,32:21:00,10/2/20
9/7/13,Won ,Anti-Mage,38:49:00,11/5/12
9/7/13,Lost,Lone Druid,32:23:00,1/6/03
9/7/13,Won ,Lone Druid,29:03:00,7/1/17
9/7/13,Lost,Lone Druid,32:25:00,4/8/07
9/7/13,Lost,Lone Druid,57:07:00,2/10/10
16/7/16,Won ,Outworld Devourer,1:11:30,10/8/20
8/7/13,Lost,Clockwerk,36:55:00,2/12/04
8/7/13,Lost,Clockwerk,45:25:00,5/5/13
7/7/13,Won ,Kunkka,32:03:00,15/0/9
6/7/13,Won ,Lone Druid,49:36:00,6/4/14
6/7/13,Won ,Bounty Hunter,40:48:00,19/4/07
6/7/13,Won ,Clockwerk,41:20:00,12/7/19
6/7/13,Won ,Gyrocopter,42:40:00,21/3/08
5/7/13,Lost,Rubick,31:22:00,2/9/04
5/7/13,Lost,Lifestealer,51:45:00,7/9/10
5/7/13,Won ,Lone Druid,35:50:00,5/2/12
5/7/13,Lost,Tidehunter,28:14:00,1/8/06
5/7/13,Lost,Chaos Knight,40:33:00,3/4/11
5/7/13,Lost,Earthshaker,38:15:00,7/11/08
5/7/13,Won ,Alchemist,1:02:17,10/4/26
4/7/13,Won ,Mirana,37:17:00,12/5/11
4/7/13,Lost,Mirana,46:06:00,4/5/14
4/7/13,Lost,Sniper,41:36:00,15/8/10
4/7/13,Won ,Clockwerk,41:03:00,5/4/19
3/7/13,Won ,Sven,34:07:00,2/3/20
3/7/13,Lost,Gyrocopter,15:33,0/5/3
3/7/13,Won ,Sand King,55:46:00,6/3/24
3/7/13,Won ,Anti-Mage,33:18:00,4/2/03
3/7/13,Lost,Windranger,31:16:00,0/5/1
2/7/13,Won ,Anti-Mage,36:30:00,8/4/11
2/7/13,Lost,Alchemist,41:43:00,3/8/19
2/7/13,Lost,Rubick,46:39:00,2/9/16
2/7/13,Won ,Razor,32:55:00,9/4/15
2/7/13,Lost,Centaur Warrunner,39:22:00,8/7/07
2/7/13,Lost,Gyrocopter,2:35,1/1/01
2/7/13,Lost,Clockwerk,56:05:00,8/11/20
2/7/13,Lost,Alchemist,37:49:00,3/6/04
1/7/13,Won ,Clockwerk,44:55:00,11/2/14
29/6/13,Won ,Gyrocopter,35:34:00,13/1/11
27/6/13,Won ,Gyrocopter,17:56,5/0/1
27/6/13,Won ,Bounty Hunter,35:18:00,7/3/08
27/6/13,Won ,Mirana,35:35:00,10/4/16
27/6/13,Won ,Gyrocopter,35:08:00,14/0/7
26/6/13,Lost,Clockwerk,29:42:00,3/10/04
26/6/13,Won ,Lina,34:48:00,14/4/25
26/6/13,Won ,Templar Assassin,41:45:00,21/5/12
26/6/13,Won ,Windranger,47:01:00,3/6/11
26/6/13,Won ,Crystal Maiden,33:06:00,4/4/15
26/6/13,Won ,Windranger,39:02:00,13/6/13
26/6/13,Lost,Clockwerk,30:42:00,8/7/06
25/6/13,Lost,Sven,27:30:00,2/7/02
25/6/13,Won ,Alchemist,42:09:00,6/5/13
25/6/13,Lost,Anti-Mage,29:47:00,1/4/06
25/6/13,Won ,Rubick,43:36:00,4/3/18
25/6/13,Lost,Slark,46:35:00,3/9/09
16/7/16,Lost,Tinker,42:36:00,10/7/10
24/6/13,Lost,Mirana,49:47:00,8/7/19
24/6/13,Won ,Mirana,7:31,1/0/1
24/6/13,Won ,Centaur Warrunner,59:43:00,10/3/19
23/6/13,Won ,Treant Protector,45:04:00,2/2/11
23/6/13,Lost,Rubick,41:29:00,2/9/15
23/6/13,Lost,Anti-Mage,36:00:00,5/5/08
23/6/13,Won ,Treant Protector,37:17:00,1/1/09
22/6/13,Won ,Rubick,52:54:00,6/8/07
22/6/13,Won ,Puck,59:38:00,8/6/17
22/6/13,Won ,Gyrocopter,35:58:00,24/1/14
22/6/13,Won ,Anti-Mage,31:26:00,4/3/16
22/6/13,Lost,Omniknight,31:33:00,1/6/06
22/6/13,Lost,Puck,35:31:00,4/5/09
22/6/13,Won ,Tinker,36:24:00,12/5/18
22/6/13,Lost,Windranger,55:22:00,16/7/17
22/6/13,Lost,Rubick,26:46:00,0/8/4
21/6/13,Lost,Dark Seer,33:45:00,2/9/07
21/6/13,Won ,Treant Protector,34:47:00,3/6/14
21/6/13,Lost,Alchemist,36:53:00,5/11/06
21/6/13,Lost,Silencer,58:20:00,3/10/12
21/6/13,Lost,Puck,32:34:00,1/7/08
21/6/13,Won ,Windranger,46:35:00,4/3/20
20/6/13,Won ,Anti-Mage,27:16:00,4/1/10
20/6/13,Won ,Puck,19:35,17/0/2
20/6/13,Won ,Silencer,1:03:27,5/4/06
15/6/13,Won ,Silencer,40:11:00,3/6/05
15/6/13,Won ,Rubick,43:32:00,9/9/16
14/6/13,Won ,Rubick,31:45:00,3/1/11
14/6/13,Won ,Silencer,45:00:00,3/6/13
14/6/13,Won ,Silencer,39:22:00,7/3/19
14/6/13,Won ,Silencer,30:58:00,5/1/07
13/6/13,Won ,Tinker,28:26:00,8/1/12
13/6/13,Lost,Dragon Knight,48:02:00,8/6/10
13/6/13,Lost,Rubick,44:31:00,6/10/14
13/6/13,Lost,Slark,30:10:00,3/7/10
13/6/13,Won ,Anti-Mage,44:23:00,17/5/15
13/6/13,Lost,Bounty Hunter,35:59:00,8/8/12
13/6/13,Lost,Puck,36:53:00,7/12/10
13/6/13,Won ,Windranger,50:46:00,6/3/21
13/6/13,Won ,Bounty Hunter,48:36:00,17/8/14
13/6/13,Won ,Weaver,39:43:00,18/5/09
12/6/13,Lost,Juggernaut,47:20:00,12/7/08
12/6/13,Lost,Pudge,38:06:00,7/17/7
12/6/13,Won ,Clockwerk,47:52:00,5/3/19
12/6/13,Won ,Centaur Warrunner,39:09:00,4/4/23
11/6/13,Lost,Windranger,26:19:00,4/7/03
11/6/13,Won ,Tinker,30:27:00,8/3/12
11/6/13,Lost,Rubick,9:47,0/2/1
11/6/13,Lost,Windranger,29:07:00,5/7/05
16/7/16,Lost,Windranger,2:56,0/0/0
11/6/13,Lost,Lifestealer,24:01:00,0/6/2
11/6/13,Won ,Slark,23:40,9/2/07
11/6/13,Won ,Clockwerk,48:32:00,11/6/25
10/6/13,Won ,Gyrocopter,0:47,0/0/0
10/6/13,Won ,Windranger,47:42:00,7/4/18
10/6/13,Won ,Clockwerk,31:01:00,18/3/15
10/6/13,Won ,Clockwerk,34:21:00,18/6/12
10/6/13,Won ,Windranger,45:18:00,9/4/14
9/6/13,Won ,Windranger,38:23:00,12/2/11
9/6/13,Lost,Windranger,45:05:00,2/13/13
9/6/13,Lost,Centaur Warrunner,22:44,0/5/0
9/6/13,Lost,Dark Seer,38:17:00,4/6/08
9/6/13,Won ,Windranger,31:23:00,7/3/19
9/6/13,Won ,Windranger,40:49:00,7/1/13
8/6/13,Lost,Huskar,30:40:00,5/14/7
8/6/13,Lost,Windranger,41:40:00,7/9/08
8/6/13,Lost,Rubick,46:06:00,5/10/26
7/6/13,Won ,Rubick,36:17:00,9/2/26
5/6/13,Won ,Treant Protector,1:18:12,1/7/09
5/6/13,Won ,Clockwerk,31:02:00,12/3/16
5/6/13,Won ,Gyrocopter,36:32:00,11/3/08
4/6/13,Lost,Kunkka,1:15:52,6/8/27
4/6/13,Won ,Rubick,51:35:00,4/9/12
4/6/13,Lost,Rubick,49:54:00,2/4/07
3/6/13,Lost,Rubick,47:30:00,2/8/06
3/6/13,Won ,Clockwerk,31:52:00,9/3/12
3/6/13,Lost,Rubick,56:51:00,6/10/15
2/6/13,Lost,Phantom Assassin,34:08:00,7/5/08
2/6/13,Lost,Shadow Fiend,40:45:00,3/6/12
1/6/13,Won ,Centaur Warrunner,44:55:00,7/5/25
1/6/13,Lost,Clockwerk,31:55:00,2/15/8
1/6/13,Lost,Visage,44:24:00,6/7/06
1/6/13,Lost,Phantom Assassin,30:30:00,4/9/01
1/6/13,Won ,Centaur Warrunner,44:49:00,3/3/19
1/6/13,Lost,Enchantress,38:24:00,3/9/03
31/5/13,Won ,Enchantress,26:46:00,6/1/05
31/5/13,Lost,Magnus,44:56:00,7/13/18
31/5/13,Lost,Centaur Warrunner,37:05:00,4/4/07
31/5/13,Won ,Centaur Warrunner,49:29:00,8/4/24
31/5/13,Won ,Silencer,53:50:00,13/5/13
31/5/13,Won ,Centaur Warrunner,53:04:00,4/6/25
30/5/13,Won ,Clockwerk,46:45:00,12/13/20
29/5/13,Lost,Lina,40:19:00,12/8/06
29/5/13,Won ,Kunkka,1:04:19,14/12/26
29/5/13,Won ,Gyrocopter,32:15:00,8/0/14
29/5/13,Lost,Centaur Warrunner,36:01:00,4/9/14
28/5/13,Won ,Magnus,33:56:00,11/8/12
28/5/13,Won ,Rubick,36:37:00,5/4/17
28/5/13,Won ,Sand King,39:23:00,8/2/17
16/7/16,Lost,Axe,51:27:00,6/15/4
28/5/13,Won ,Rubick,38:33:00,8/6/30
26/5/13,Lost,Axe,33:51:00,3/12/06
26/5/13,Lost,Centaur Warrunner,37:33:00,7/8/09
26/5/13,Won ,Clockwerk,40:59:00,9/7/18
26/5/13,Lost,Batrider,42:07:00,5/7/14
26/5/13,Won ,Centaur Warrunner,49:24:00,3/6/12
25/5/13,Lost,Rubick,43:53:00,2/7/15
25/5/13,Won ,Rubick,6:58,1/0/1
25/5/13,Lost,Death Prophet,40:35:00,5/8/02
25/5/13,Won ,Rubick,1:07:53,10/9/30
24/5/13,Lost,Warlock,49:25:00,1/8/11
24/5/13,Lost,Rubick,49:44:00,1/11/15
23/5/13,Won ,Wraith King,35:32:00,15/0/11
23/5/13,Won ,Clockwerk,40:10:00,3/7/13
23/5/13,Won ,Clockwerk,29:26:00,10/0/14
23/5/13,Lost,Visage,52:10:00,9/15/22
23/5/13,Lost,Magnus,1:04:28,13/8/23
22/5/13,Won ,Magnus,21:08,3/1/04
22/5/13,Won ,Enchantress,41:24:00,8/9/23
22/5/13,Won ,Windranger,32:58:00,6/1/14
21/5/13,Lost,Storm Spirit,40:35:00,7/11/13
21/5/13,Won ,Rubick,1:10:21,7/12/15
20/5/13,Lost,Tinker,32:25:00,1/10/10
20/5/13,Lost,Lina,53:18:00,9/8/07
19/5/13,Won ,Rubick,32:36:00,7/3/12
19/5/13,Lost,Clockwerk,46:04:00,4/12/09
19/5/13,Lost,Clockwerk,27:03:00,2/7/04
19/5/13,Lost,Pudge,37:35:00,7/13/12
17/5/13,Lost,Lina,46:42:00,15/4/08
17/5/13,Lost,Timbersaw,52:38:00,15/10/14
17/5/13,Won ,Alchemist,58:20:00,28/7/21
17/5/13,Lost,Shadow Demon,42:32:00,9/9/12
17/5/13,Won ,Faceless Void,50:53:00,14/6/19
16/5/13,Won ,Storm Spirit,13:01,3/0/3
15/5/13,Lost,Tiny,38:39:00,9/9/13
15/5/13,Lost,Clockwerk,46:17:00,3/7/18
14/5/13,Lost,Magnus,33:55:00,7/4/04
14/5/13,Won ,Zeus,31:57:00,9/2/13
14/5/13,Won ,Clockwerk,53:56:00,6/10/32
14/5/13,Won ,Chaos Knight,32:47:00,17/4/09
14/5/13,Lost,Bloodseeker,39:46:00,5/6/10
13/5/13,Won ,Storm Spirit,46:16:00,8/6/21
13/5/13,Lost,Troll Warlord,43:29:00,14/8/04
13/5/13,Lost,Treant Protector,28:48:00,2/3/02
13/5/13,Won ,Faceless Void,39:26:00,11/2/10
12/5/13,Lost,Sven,54:01:00,4/6/10
12/5/13,Won ,Medusa,53:36:00,9/5/16
12/5/13,Lost,Templar Assassin,36:53:00,13/4/05
12/5/13,Won ,Treant Protector,51:20:00,3/8/08
16/7/16,Lost,Mirana,32:33:00,3/9/06
11/5/13,Won ,Magnus,26:35:00,4/3/04
11/5/13,Won ,Enigma,39:07:00,6/1/16
11/5/13,Won ,Brewmaster,35:30:00,15/6/24
11/5/13,Won ,Treant Protector,28:36:00,3/1/08
11/5/13,Won ,Phantom Assassin,52:56:00,21/7/10
11/5/13,Won ,Bristleback,49:50:00,6/6/20
10/5/13,Lost,Pugna,44:25:00,9/8/04
10/5/13,Lost,Chaos Knight,55:15:00,4/14/11
10/5/13,Won ,Tinker,24:54:00,3/2/09
9/5/13,Lost,Naga Siren,35:13:00,6/8/07
9/5/13,Lost,Magnus,33:01:00,6/5/09
9/5/13,Lost,Elder Titan,34:31:00,1/10/05
7/5/13,Won ,Alchemist,53:16:00,21/5/13
6/5/13,Won ,Tinker,1:12:51,7/12/19
6/5/13,Lost,Storm Spirit,38:08:00,15/7/08
6/5/13,Won ,Tinker,44:34:00,9/4/20
5/5/13,Lost,Crystal Maiden,54:49:00,3/12/20
5/5/13,Lost,Enchantress,30:03:00,1/7/08
5/5/13,Lost,Templar Assassin,47:25:00,14/7/02
3/5/13,Lost,Magnus,39:32:00,6/9/05
3/5/13,Won ,Elder Titan,36:28:00,9/4/18
3/5/13,Lost,Elder Titan,37:08:00,3/12/10
3/5/13,Won ,Bristleback,49:58:00,7/6/33
2/5/13,Lost,Alchemist,28:58:00,3/6/06
29/4/13,Won ,Phantom Lancer,57:08:00,17/2/15
29/4/13,Won ,Alchemist,37:01:00,7/5/15
27/4/13,Lost,Enigma,1:07:02,9/3/32
26/4/13,Lost,Tinker,39:57:00,3/4/06
26/4/13,Won ,Tinker,36:32:00,21/3/11
26/4/13,Lost,Tinker,4:31,0/0/0
26/4/13,Won ,Tinker,46:51:00,9/7/18
26/4/13,Won ,Tinker,45:07:00,12/7/27
25/4/13,Won ,Alchemist,54:13:00,21/3/17
24/4/13,Won ,Templar Assassin,37:00:00,15/2/11
22/4/13,Won ,Clockwerk,41:15:00,10/6/19
21/4/13,Lost,Templar Assassin,45:45:00,23/8/02
21/4/13,Won ,Chen,49:24:00,7/7/14
21/4/13,Won ,Clockwerk,38:39:00,9/4/26
16/4/13,Lost,Lina,33:25:00,7/11/03
14/4/13,Lost,Templar Assassin,41:22:00,3/6/02
14/4/13,Won ,Tinker,56:24:00,15/2/13
14/4/13,Won ,Clockwerk,47:22:00,11/3/20
14/4/13,Lost,Magnus,43:09:00,7/5/15
14/4/13,Lost,Clockwerk,37:29:00,5/5/11
13/4/13,Lost,Disruptor,0:30,0/0/0
13/4/13,Lost,Magnus,41:22:00,6/5/06
13/4/13,Won ,Tinker,34:14:00,27/3/12
13/4/13,Lost,Clockwerk,34:41:00,2/7/05
13/4/13,Lost,Windranger,37:15:00,9/7/06
16/7/16,Lost,Clockwerk,34:13:00,2/5/09
13/4/13,Lost,Windranger,39:56:00,7/7/09
13/4/13,Won ,Alchemist,41:17:00,9/5/15
12/4/13,Won ,Clockwerk,39:45:00,5/6/17
12/4/13,Won ,Clockwerk,53:34:00,9/13/22
12/4/13,Lost,Magnus,49:47:00,14/6/18
11/4/13,Won ,Lina,31:19:00,9/1/12
11/4/13,Lost,Templar Assassin,47:23:00,21/6/08
10/4/13,Lost,Templar Assassin,52:18:00,11/7/05
9/4/13,Won ,Lone Druid,37:08:00,9/2/12
9/4/13,Lost,Clockwerk,1:02:23,10/11/27
9/4/13,Lost,Shadow Demon,46:36:00,5/12/06
9/4/13,Won ,Shadow Demon,50:12:00,10/7/20
9/4/13,Won ,Templar Assassin,35:16:00,18/1/08
8/4/13,Won ,Alchemist,46:15:00,22/3/09
8/4/13,Lost,Alchemist,35:11:00,4/8/08
7/4/13,Won ,Shadow Demon,38:25:00,12/4/31
7/4/13,Lost,Bane,53:49:00,3/11/13
7/4/13,Won ,Magnus,43:16:00,12/2/17
7/4/13,Lost,Lone Druid,35:32:00,3/4/06
7/4/13,Won ,Shadow Demon,31:57:00,5/5/15
6/4/13,Lost,Shadow Demon,44:06:00,3/12/11
6/4/13,Lost,Alchemist,44:10:00,2/12/11
6/4/13,Won ,Lone Druid,1:51,0/0/0
6/4/13,Won ,Alchemist,35:17:00,18/1/12
6/4/13,Lost,Juggernaut,31:41:00,5/7/04
6/4/13,Won ,Juggernaut,40:07:00,11/4/15
5/4/13,Lost,Windranger,41:01:00,5/9/09
5/4/13,Won ,Windranger,40:07:00,6/2/17
2/4/13,Lost,Magnus,40:32:00,8/6/15
2/4/13,Won ,Bane,55:24:00,19/3/19
2/4/13,Lost,Alchemist,45:36:00,15/6/17
2/4/13,Lost,Alchemist,40:39:00,2/12/19
2/4/13,Lost,Chaos Knight,50:09:00,5/11/12
2/4/13,Won ,Chaos Knight,34:03:00,16/7/20
1/4/13,Lost,Windranger,43:12:00,7/7/06
1/4/13,Won ,Alchemist,48:27:00,15/7/15
1/4/13,Lost,Windranger,39:21:00,1/12/12
1/4/13,Lost,Windranger,35:26:00,5/8/06
1/4/13,Lost,Alchemist,45:38:00,16/6/06
31/3/13,Won ,Alchemist,36:56:00,14/3/09
31/3/13,Won ,Alchemist,28:01:00,12/0/9
31/3/13,Won ,Windranger,32:21:00,11/2/20
31/3/13,Won ,Alchemist,36:06:00,9/2/15
31/3/13,Lost,Warlock,46:50:00,7/5/17
30/3/13,Won ,Magnus,29:13:00,12/2/11
30/3/13,Won ,Nyx Assassin,59:13:00,7/8/12
30/3/13,Won ,Alchemist,45:29:00,11/3/16
30/3/13,Won ,Bane,40:00:00,7/3/16
30/3/13,Won ,Templar Assassin,31:03:00,13/3/08
16/7/16,Won ,Vengeful Spirit,54:35:00,4/4/26
30/3/13,Won ,Tinker,4:51,0/1/1
30/3/13,Won ,Alchemist,45:01:00,15/5/15
29/3/13,Won ,Alchemist,40:35:00,16/4/15
29/3/13,Lost,Warlock,52:11:00,4/10/14
29/3/13,Won ,Alchemist,46:23:00,17/6/10
29/3/13,Lost,Alchemist,32:52:00,6/5/04
29/3/13,Won ,Alchemist,52:31:00,22/4/21
29/3/13,Lost,Juggernaut,39:18:00,7/6/10
28/3/13,Lost,Gyrocopter,0:51,0/0/0
28/3/13,Lost,Sven,36:09:00,12/7/14
28/3/13,Lost,Vengeful Spirit,37:29:00,4/9/04
28/3/13,Lost,Dazzle,32:22:00,1/8/05
28/3/13,Won ,Nyx Assassin,1:01:43,17/9/16
27/3/13,Won ,Magnus,38:18:00,9/6/18
27/3/13,Lost,Lina,44:02:00,10/6/07
27/3/13,Lost,Nyx Assassin,41:27:00,16/7/18
27/3/13,Won ,Lone Druid,40:08:00,16/4/10
27/3/13,Lost,Lone Druid,31:31:00,2/3/09
27/3/13,Won ,Warlock,27:02:00,3/0/12
26/3/13,Won ,Warlock,45:26:00,4/4/15
26/3/13,Lost,Storm Spirit,27:09:00,2/6/02
26/3/13,Won ,Warlock,31:37:00,8/5/32
26/3/13,Lost,Mirana,54:18:00,2/12/10
26/3/13,Won ,Warlock,32:55:00,6/2/15
25/3/13,Won ,Sven,30:30:00,3/0/7
25/3/13,Lost,Magnus,43:31:00,8/6/05
25/3/13,Lost,Lone Druid,31:29:00,2/6/14
25/3/13,Lost,Storm Spirit,34:04:00,4/9/08
24/3/13,Lost,Lina,47:37:00,15/14/6
24/3/13,Won ,Lina,39:43:00,8/5/15
24/3/13,Won ,Storm Spirit,32:33:00,7/2/05
23/3/13,Won ,Storm Spirit,1:06:02,23/3/17
23/3/13,Won ,Storm Spirit,35:15:00,16/1/22
22/3/13,Lost,Lina,59:11:00,15/7/18
22/3/13,Won ,Disruptor,1:08:39,4/14/9
22/3/13,Won ,Sven,1:00:33,12/7/17
22/3/13,Lost,Lone Druid,39:31:00,3/6/04
21/3/13,Won ,Lone Druid,1:06:18,6/8/21
20/3/13,Won ,Bane,39:25:00,5/3/16
19/3/13,Won ,Bane,47:48:00,4/8/11
19/3/13,Won ,Mirana,42:36:00,1/4/25
19/3/13,Lost,Tinker,59:32:00,14/8/16
18/3/13,Won ,Bane,36:32:00,6/2/10
18/3/13,Lost,Puck,29:14:00,5/9/09
18/3/13,Won ,Brewmaster,39:26:00,9/0/21
18/3/13,Lost,Magnus,47:18:00,9/8/17
17/3/13,Lost,Storm Spirit,47:35:00,16/9/18
17/3/13,Won ,Broodmother,5:52,0/1/0
17/3/13,Lost,Gyrocopter,24:52:00,2/10/02
16/7/16,Lost,Beastmaster,32:23:00,4/9/12
17/3/13,Lost,Pudge,44:33:00,9/10/08
17/3/13,Lost,Queen of Pain,25:10:00,6/4/00
17/3/13,Lost,Keeper of the Light,3:12,0/0/0
17/3/13,Won ,Lina,28:17:00,15/3/12
16/3/13,Won ,Magnus,43:22:00,5/9/15
16/3/13,Won ,Lone Druid,48:02:00,7/2/16
16/3/13,Lost,Keeper of the Light,36:39:00,4/5/09
16/3/13,Lost,Lone Druid,40:02:00,11/4/05
16/3/13,Won ,Lone Druid,39:32:00,8/3/14
15/3/13,Won ,Lone Druid,6:46,0/1/0
15/3/13,Lost,Lone Druid,37:51:00,7/6/04
15/3/13,Won ,Lone Druid,15:06,1/0/2
15/3/13,Lost,Sand King,37:31:00,4/2/15
14/3/13,Lost,Storm Spirit,22:33,2/6/04
14/3/13,Lost,Lina,35:29:00,10/6/05
13/3/13,Lost,Queen of Pain,46:23:00,10/8/18
13/3/13,Won ,Bane,38:26:00,7/4/06
13/3/13,Lost,Lone Druid,49:25:00,6/7/07
13/3/13,Won ,Lone Druid,24:01:00,4/2/07
13/3/13,Lost,Lone Druid,42:37:00,6/8/07
13/3/13,Won ,Magnus,45:09:00,14/3/16
12/3/13,Won ,Puck,49:28:00,12/5/30
12/3/13,Won ,Lone Druid,37:03:00,5/8/16
12/3/13,Lost,Lone Druid,42:23:00,8/7/11
12/3/13,Lost,Magnus,35:50:00,8/6/09
11/3/13,Lost,Keeper of the Light,47:30:00,2/6/11
11/3/13,Lost,Keeper of the Light,41:35:00,2/12/11
11/3/13,Lost,Magnus,37:33:00,6/7/06
10/3/13,Lost,Batrider,46:06:00,4/13/14
10/3/13,Won ,Lina,35:11:00,17/3/15
9/3/13,Lost,Disruptor,37:40:00,3/6/10
9/3/13,Won ,Jakiro,40:34:00,9/3/28
9/3/13,Won ,Queen of Pain,32:38:00,5/3/11
8/3/13,Won ,Jakiro,51:31:00,7/7/30
8/3/13,Won ,Lone Druid,33:23:00,9/2/09
8/3/13,Lost,Lone Druid,41:06:00,4/11/10
7/3/13,Lost,Windranger,42:02:00,5/7/12
7/3/13,Won ,Lone Druid,36:20:00,8/4/11
7/3/13,Won ,Lone Druid,45:24:00,7/9/15
7/3/13,Lost,Batrider,35:54:00,8/7/05
6/3/13,Won ,Storm Spirit,47:49:00,7/7/25
6/3/13,Lost,Lina,44:41:00,14/10/06
5/3/13,Won ,Lion,41:13:00,7/7/17
5/3/13,Lost,Pudge,42:15:00,13/14/11
5/3/13,Lost,Storm Spirit,35:38:00,3/9/05
5/3/13,Lost,Storm Spirit,32:30:00,6/9/03
5/3/13,Won ,Faceless Void,34:30:00,9/1/10
4/3/13,Lost,Storm Spirit,30:06:00,6/10/08
4/3/13,Won ,Keeper of the Light,46:20:00,5/12/19
16/7/16,Lost,Phantom Lancer,5:41,0/0/0
4/3/13,Won ,Magnus,58:25:00,14/5/20
3/3/13,Lost,Tinker,51:41:00,13/14/10
3/3/13,Won ,Pudge,29:45:00,25/1/22
3/3/13,Won ,Timbersaw,34:22:00,10/3/17
3/3/13,Lost,Gyrocopter,27:18:00,6/6/03
2/3/13,Won ,Anti-Mage,46:59:00,16/2/09
2/3/13,Won ,Spectre,31:31:00,12/1/19
2/3/13,Won ,Disruptor,41:55:00,4/6/20
2/3/13,Lost,Nyx Assassin,41:01:00,14/8/09
28/2/13,Lost,Nyx Assassin,42:47:00,11/7/09
28/2/13,Won ,Bounty Hunter,52:57:00,10/6/12
28/2/13,Won ,Earthshaker,48:00:00,6/7/24
27/2/13,Lost,Kunkka,37:51:00,9/6/07
27/2/13,Won ,Nyx Assassin,1:13:40,29/10/23
27/2/13,Won ,Anti-Mage,41:57:00,14/4/09
26/2/13,Won ,Clockwerk,42:52:00,16/4/20
26/2/13,Won ,Tinker,50:15:00,19/4/22
26/2/13,Lost,Tinker,35:45:00,4/8/07
26/2/13,Won ,Shadow Fiend,36:34:00,10/2/11
25/2/13,Won ,Lina,39:36:00,16/9/18
25/2/13,Lost,Magnus,30:24:00,6/8/11
25/2/13,Won ,Queen of Pain,42:54:00,10/3/25
25/2/13,Lost,Drow Ranger,29:43:00,2/10/04
24/2/13,Lost,Queen of Pain,1:10:45,23/10/21
24/2/13,Won ,Lina,54:01:00,17/9/10
24/2/13,Lost,Pudge,39:08:00,8/8/04
24/2/13,Won ,Queen of Pain,43:50:00,9/6/19
23/2/13,Lost,Sand King,41:29:00,13/5/17
22/2/13,Won ,Crystal Maiden,47:48:00,6/6/24
22/2/13,Won ,Templar Assassin,32:09:00,18/1/04
21/2/13,Won ,Queen of Pain,52:34:00,15/11/22
21/2/13,Lost,Gyrocopter,49:02:00,6/12/15
21/2/13,Lost,Tinker,53:17:00,3/6/09
21/2/13,Lost,Pudge,44:15:00,17/10/08
21/2/13,Won ,Sven,38:44:00,30/4/07
20/2/13,Lost,Faceless Void,30:01:00,0/2/4
20/2/13,Lost,Jakiro,40:55:00,4/12/11
19/2/13,Won ,Pudge,57:51:00,16/3/16
19/2/13,Won ,Gyrocopter,50:21:00,8/11/15
19/2/13,Won ,Lina,59:51:00,11/10/17
19/2/13,Lost,Nyx Assassin,32:58:00,4/9/02
19/2/13,Won ,Lina,39:34:00,3/6/10
19/2/13,Won ,Pudge,2:24,0/0/0
18/2/13,Lost,Gyrocopter,34:49:00,3/12/04
18/2/13,Won ,Troll Warlord,53:33:00,15/7/17
18/2/13,Won ,Gyrocopter,42:19:00,18/3/14
17/2/13,Lost,Tinker,54:33:00,6/11/19
16/2/13,Won ,Faceless Void,34:46:00,14/4/09
16/2/13,Won ,Lina,1:08:11,14/2/24
16/7/16,Lost,Sand King,40:18:00,12/16/7
14/2/13,Won ,Tinker,36:09:00,4/7/14
14/2/13,Won ,Shadow Demon,46:28:00,5/2/24
13/2/13,Lost,Lina,48:25:00,24/10/08
13/2/13,Lost,Faceless Void,29:41:00,2/5/04
13/2/13,Won ,Faceless Void,46:13:00,11/5/14
